PRESTONS DC,NSW,-33.971305,150.894517
CASULA MALL LPO,NSW,-33.950422,150.909367
LIVERPOOL WESTFIELD POST SHOP,NSW,-33.918951,150.923868
NARELLAN DC,NSW,-33.883696,150.853171
LAKEMBA DC,NSW,-33.892441,151.055898
YAGOONA WEST LPO,NSW,-33.918726,151.037007
BANKSTOWN NORTH LPO,NSW,-33.904622,151.039298
BANKSTOWN SQUARE POST SHOP,NSW,-33.916017,151.038538
MANAHAN LPO,NSW,-33.916293,151.005545
MOUNT LEWIS LPO,NSW,-33.917157,151.047838
MARRICKVILLE METRO LPO,NSW,-33.906781,151.171858
MARRICKVILLE SOUTH LPO,NSW,-33.915178,151.151568
ROCKDALE DC,NSW,-33.936592,151.146805
KINGSGROVE DC,NSW,-33.925357,151.103282
BEXLEY SOUTH LPO,NSW,-33.959548,151.117388
PEAKHURST DC,NSW,-33.982956,151.046942
REVESBY NORTH LPO,NSW,-33.943582,151.007296
HURSTVILLE WESTFIELD POST SHOP,NSW,-33.965517,151.104903
TAREN POINT DC,NSW,-33.997972,151.096235
SYLVANIA SOUTHGATE LPO,NSW,-34.009895,151.104166
KIRRAWEE DC,NSW,-33.997441,151.087892
MENAI CENTRAL LPO,NSW,-33.998425,151.063767
GOSFORD DC,NSW,-33.111273,151.138861
ERINA FAIR LPO,NSW,-33.437221,151.394139
TERRIGAL DC,NSW,-33.464937,151.432387
WOY WOY DC,NSW,-33.503434,151.327632
CHARMHAVEN  DC,NSW,-33.265998,151.403858
LONG JETTY DC,NSW,-33.381213,151.479104
BAY VILLAGE LPO,NSW,-33.376325,151.473838
CHARMHAVEN DC,NSW,-33.271922,151.544045
MORISSET DC,NSW,-33.095642,151.553169
EDGEWORTH DC,NSW,-33.071491,151.584366
GATESHEAD DC,NSW,-33.036057,151.660563
HAMILTON DC,NSW,-32.890844,151.690829
WALLSEND SOUTH LPO,NSW,-32.920748,151.675016
KOTARA SOUTH,NSW,-32.950811,151.694264
HEATHERBREA DC,NSW,-32.854436,151.810346
KOTARA EAST LPO,NSW,-32.934986,151.707216
HUNTER REGION MC,NSW,-35.125235,147.322357
DANGAR LPO,NSW,-30.352158,148.890775
GRESFORD EAST,NSW,-32.363343,151.536229
NABIAC LPO,NSW,-32.148267,152.361412
WILLIAMTOWN,NSW,-32.797365,151.83699
NELSON BAY DC,NSW,-32.721158,152.106782
METFORD DC,NSW,-32.694656,151.534607
MAITLAND NORTH LPO,NSW,-32.714976,151.528575
CLARENCE TOWN LPO,NSW,-32.583661,151.779596
HEDDON GRETA,NSW,-32.784916,151.523259
LOCHINVAR LPO,NSW,-32.699039,151.45479
TEA GARDENS LPO,NSW,-32.662213,152.074063
KARUAH,NSW,-32.664342,152.018722
RAYMOND TERRACE EAST LPO,NSW,-32.760671,151.776788
CESSNOCK DC,NSW,-32.8442,151.376514
CESSNOCK WEST LPO,NSW,-32.840026,151.341115
PAXTON LPO,NSW,-32.902045,151.279669
DENMAN LPO,NSW,-32.457341,150.741969
CASSILIS LPO,NSW,-31.50643,150.642146
MERRIWA LPO,NSW,-32.139419,150.355719
SINGLETON DC,NSW,-32.512305,150.864848
SINGLETON MILPO LPO,NSW,-32.688569,151.180153
MUSWELLBROOK DC,NSW,-32.389105,150.470217
SANDY HOLLOW LPO,NSW,-32.520217,150.454381
GRETA LPO,NSW,-32.677443,151.388741
BRANXTON LPO,NSW,-32.653434,151.275212
ABERDEEN LPO,NSW,-32.162396,150.890118
SCONE DELIVERY,NSW,-31.993284,151.124461
MURRURUNDI LPO,NSW,-31.734505,150.785588
WILLOW TREE LPO,NSW,-31.773148,150.615611
